     count ,    time(s) ,      dt(s) ,       type ,    meas_px ,     est_px ,      gt_px ,    RMSE_px ,    meas_py ,     est_py ,      gt_py ,    RMSE_py ,     est_vx ,      gt_vx ,    RMSE_vx ,     est_vy ,      gt_vy ,    RMSE_vy ,        NIS ,               
         0 ,          0 ,          0 ,      Lidar ,   0.312243 ,   0.312243 ,        0.6 ,   0.287757 ,    0.58034 ,    0.58034 ,        0.6 ,  0.0196602 ,          0 ,    5.19994 ,    5.19994 ,          0 ,          0 ,          0 ,          0 ,               
         1 ,       0.05 ,       0.05 ,      Radar ,   0.862916 ,   0.862916 ,   0.859997 ,   0.203486 ,   0.534212 ,   0.534212 ,   0.600045 ,  0.0485825 ,          0 ,    5.19975 ,    5.19984 ,          0 , 0.00179686 , 0.00127057 ,          0 ,               
         2 ,        0.1 ,       0.05 ,      Lidar ,    1.17385 ,    1.17385 ,    1.11998 ,   0.169031 ,   0.481073 ,   0.481073 ,   0.600225 ,  0.0794096 ,    6.21865 ,    5.19943 ,    4.28624 ,   -1.06278 , 0.00538996 ,   0.616708 ,          0 ,               
         3 ,       0.15 ,       0.05 ,      Radar ,   0.969149 ,    1.31852 ,    1.37996 ,   0.149573 ,   0.397513 ,    0.54798 ,   0.600629 ,  0.0736368 ,    5.89191 ,    5.19898 ,    3.72813 ,   -2.01654 ,  0.0107781 ,    1.14575 ,    6.30461 ,               
         4 ,        0.2 ,       0.05 ,      Lidar ,    1.65063 ,    1.64652 ,     1.6399 ,   0.133815 ,    0.62469 ,   0.479947 ,   0.601347 ,  0.0853552 ,    5.93186 ,    5.19839 ,    3.35063 ,   -1.86465 ,  0.0179597 ,    1.32629 ,    1.14804 ,               
         5 ,       0.25 ,       0.05 ,      Radar ,    1.62331 ,    1.92614 ,    1.89982 ,   0.122627 ,   0.499091 ,    0.49974 ,    0.60247 ,  0.0884882 ,    5.96524 ,    5.19766 ,     3.0747 ,   -1.26417 ,  0.0269323 ,    1.32049 ,    6.59462 ,               
         6 ,        0.3 ,       0.05 ,      Lidar ,    2.18882 ,    2.22588 ,     2.1597 ,   0.116253 ,   0.648739 ,   0.467854 ,   0.604086 ,  0.0967619 ,    5.97359 ,    5.19678 ,    2.86172 ,   -1.09302 ,  0.0376932 ,    1.29508 ,     1.7639 ,               
         7 ,       0.35 ,       0.05 ,      Radar ,    1.96701 ,    2.47933 ,    2.41954 ,   0.110781 ,   0.557117 ,   0.541102 ,   0.606284 ,  0.0934002 ,    5.81518 ,    5.19573 ,    2.68584 ,  -0.500423 ,  0.0502389 ,    1.22698 ,    14.5849 ,               
         8 ,        0.4 ,       0.05 ,      Lidar ,    2.65526 ,    2.74916 ,    2.67932 ,   0.107008 ,    0.66598 ,   0.538572 ,   0.609155 ,  0.0911474 ,    5.79566 ,     5.1945 ,    2.54015 ,  -0.384997 ,  0.0645654 ,    1.16648 ,    1.32621 ,               
         9 ,       0.45 ,       0.05 ,      Radar ,    2.92034 ,    3.01623 ,    2.93904 ,   0.104409 ,   0.645898 ,   0.576714 ,   0.612786 ,  0.0872192 ,    5.68516 ,    5.19309 ,    2.41482 ,     -0.175 ,   0.080668 ,    1.10957 ,    3.42801 ,               
        10 ,        0.5 ,       0.05 ,      Lidar ,    3.01222 ,    3.24799 ,    3.19869 ,   0.100654 ,   0.637046 ,    0.57703 ,   0.617267 ,  0.0840405 ,    5.64238 ,    5.19147 ,    2.30645 ,  -0.103288 ,  0.0985415 ,    1.05968 ,    3.20047 ,               
        11 ,       0.55 ,       0.05 ,      Radar ,    3.56096 ,    3.52061 ,    3.45825 ,  0.0980359 ,   0.485311 ,   0.541979 ,   0.622685 ,  0.0837677 ,    5.58458 ,    5.18963 ,     2.2112 ,  -0.215182 ,    0.11818 ,    1.01912 ,    1.87774 ,               
        12 ,        0.6 ,       0.05 ,      Lidar ,    3.89365 ,      3.814 ,    3.71772 ,  0.0979021 ,   0.311793 ,   0.488745 ,    0.62913 ,   0.089405 ,    5.60256 ,    5.18754 ,    2.12757 ,  -0.365032 ,   0.139576 ,   0.989089 ,    2.05902 ,               
        13 ,       0.65 ,       0.05 ,      Radar ,    4.19786 ,    4.09193 ,    3.97708 ,  0.0992086 ,   0.698311 ,   0.530138 ,   0.636689 ,  0.0907372 ,    5.58298 ,    5.18519 ,    2.05293 ,  -0.178739 ,   0.162724 ,   0.957469 ,    2.28355 ,               
        14 ,        0.7 ,       0.05 ,      Lidar ,    4.30935 ,    4.36113 ,    4.23632 ,   0.101117 ,   0.578564 ,   0.533577 ,   0.645449 ,  0.0922969 ,    5.57218 ,    5.18256 ,    1.98587 ,  -0.130105 ,   0.187614 ,   0.928634 ,   0.255662 ,               
        15 ,       0.75 ,       0.05 ,      Radar ,    4.61908 ,    4.62095 ,    4.49542 ,   0.102813 ,    0.68951 ,   0.566419 ,   0.655498 ,   0.092099 ,    5.49887 ,    5.17962 ,    1.92446 , -0.0102656 ,   0.214238 ,   0.900896 ,    2.47745 ,               
